msg_id,price,mode,burst,produce_time,consume_time,latency_ms,throughput_msg_per_sec,p95_latency_ms,p99_latency_ms
0,99.86,burst_12p,True,1776107973.1964295,1776107973.3309522,134.523,1000.0,,
1,98.98,burst_12p,True,1776107973.2016037,1776107973.3310628,129.459,2000.0,,
2,98.95,burst_12p,True,1776107973.207104,1776107973.3310916,123.988,3000.0,,
3,98.94,burst_12p,False,1776107973.2122188,1776107973.331126,118.907,4000.0,,
4,98.82,burst_12p,True,1776107973.2173178,1776107973.3311691,113.851,5000.0,,
5,98.82,burst_12p,False,1776107973.2224083,1776107973.3312101,108.802,6000.0,,
20,98.63,burst_12p,True,1776107973.298811,1776107973.3615532,62.742,228.75,,
21,98.63,burst_12p,False,1776107973.3038664,1776107973.3616393,57.773,260.7,,
14,98.34,burst_12p,False,1776107973.2682734,1776107973.365208,96.935,262.73,,
15,98.34,burst_12p,False,1776107973.273362,1776107973.365292,91.93,291.21,,
16,98.36,burst_12p,True,1776107973.2784517,1776107973.3653302,86.879,319.97,,
17,98.33,burst_12p,False,1776107973.2835386,1776107973.3653624,81.824,348.73,,
10,98.96,burst_12p,True,1776107973.2478666,1776107973.377071,129.204,281.88,,
11,98.96,burst_12p,False,1776107973.2529635,1776107973.3771312,124.168,303.17,,
30,98.71,burst_12p,True,1776107973.349755,1776107973.3771534,27.398,324.67,,
31,98.62,burst_12p,True,1776107973.3548741,1776107973.377173,22.299,346.16,,
6,98.98,burst_12p,True,1776107973.2274892,1776107973.3785164,151.027,357.41,,
7,98.98,burst_12p,False,1776107973.2325838,1776107973.3785737,145.99,377.98,,
26,99.04,burst_12p,False,1776107973.329351,1776107973.3909276,61.577,316.8,,
27,98.84,burst_12p,True,1776107973.33445,1776107973.3909829,56.533,333.16,146.242,
8,98.87,burst_12p,True,1776107973.2376761,1776107973.3914,153.724,347.41,151.027,
9,98.99,burst_12p,True,1776107973.2427645,1776107973.391545,148.781,363.08,150.915,
24,99.01,burst_12p,True,1776107973.3191347,1776107973.3916736,72.539,378.78,150.803,
25,99.0,burst_12p,False,1776107973.3242428,1776107973.391802,67.559,394.41,150.69,
12,98.96,burst_12p,False,1776107973.2580712,1776107973.4042284,146.157,341.17,150.578,
13,98.35,burst_12p,True,1776107973.2631776,1776107973.4044435,141.266,353.78,150.466,
36,98.4,burst_12p,False,1776107973.3803613,1776107973.4045794,24.218,366.71,150.353,
37,98.39,burst_12p,False,1776107973.385447,1776107973.4161963,30.749,328.47,150.241,
40,98.41,burst_12p,False,1776107973.4007764,1776107973.4190512,18.275,329.18,150.129,
41,98.48,burst_12p,True,1776107973.405893,1776107973.434655,28.762,289.29,150.016,
18,98.43,burst_12p,True,1776107973.288632,1776107973.4350667,146.435,297.75,149.904,
19,98.47,burst_12p,True,1776107973.2937212,1776107973.435213,141.492,306.92,149.792,
34,98.53,burst_12p,True,1776107973.3701882,1776107973.4353416,65.153,316.12,149.679,
35,98.35,burst_12p,True,1776107973.3752825,1776107973.4354448,60.162,325.38,149.567,
44,98.62,burst_12p,False,1776107973.421236,1776107973.440555,19.319,319.33,149.455,
22,98.71,burst_12p,True,1776107973.308953,1776107973.4486456,139.693,305.88,149.342,
23,98.8,burst_12p,True,1776107973.3140368,1776107973.4488726,134.836,313.77,149.23,
28,98.83,burst_12p,False,1776107973.3395588,1776107973.4490159,109.457,321.86,149.118,
29,98.93,burst_12p,True,1776107973.3446598,1776107973.4491434,104.484,329.97,149.005,
38,98.39,burst_12p,False,1776107973.3905509,1776107973.4492662,58.715,338.08,148.893,
39,98.37,burst_12p,False,1776107973.3956585,1776107973.4493752,53.717,346.22,148.781,
42,98.48,burst_12p,False,1776107973.4110126,1776107973.4496112,38.599,353.96,148.663,
43,98.6,burst_12p,True,1776107973.4161205,1776107973.4497316,33.611,362.02,148.546,
46,98.81,burst_12p,False,1776107973.43149,1776107973.4520137,20.524,363.45,148.429,
47,98.81,burst_12p,False,1776107973.436588,1776107973.4521816,15.594,371.2,148.311,
45,98.86,burst_12p,True,1776107973.4263594,1776107973.4535246,27.165,375.29,148.194,
48,98.7,burst_12p,True,1776107973.441695,1776107973.4657435,24.049,348.69,148.077,
49,98.7,burst_12p,False,1776107973.4468067,1776107973.465918,19.111,355.65,147.96,
50,97.79,burst_12p,True,1776107973.451886,1776107973.479619,27.733,329.6,147.842,
51,97.79,burst_12p,False,1776107973.4569826,1776107973.4797916,22.809,335.93,147.725,
32,98.64,burst_12p,True,1776107973.3599849,1776107973.4815316,121.547,338.69,147.608,
33,98.64,burst_12p,True,1776107973.3650858,1776107973.4817393,116.653,344.86,147.49,
54,98.37,burst_12p,True,1776107973.4722695,1776107973.4923627,20.093,328.36,147.373,
52,97.85,burst_12p,True,1776107973.4620779,1776107973.4942443,32.166,330.7,147.256,
53,98.16,burst_12p,True,1776107973.467169,1776107973.494405,27.236,336.49,147.139,
55,98.56,burst_12p,True,1776107973.47736,1776107973.5083015,30.941,315.76,147.021,
56,98.58,burst_12p,False,1776107973.4824572,1776107973.5092041,26.747,319.77,146.904,
57,98.6,burst_12p,False,1776107973.4875565,1776107973.509359,21.802,325.1,146.787,
58,98.85,burst_12p,True,1776107973.4926536,1776107973.513297,20.643,323.56,146.669,
59,98.73,burst_12p,True,1776107973.4977467,1776107973.5134616,15.715,328.75,146.552,
60,98.58,burst_12p,True,1776107973.502839,1776107973.5227597,19.921,318.03,146.435,
61,98.6,burst_12p,False,1776107973.5079458,1776107973.523,15.054,322.84,146.421,
62,98.85,burst_12p,True,1776107973.5130482,1776107973.5361953,23.147,306.95,146.407,
63,98.76,burst_12p,True,1776107973.5181503,1776107973.5363843,18.234,311.54,146.393,
64,98.71,burst_12p,False,1776107973.5232472,1776107973.5499053,26.658,296.87,146.379,
65,98.63,burst_12p,True,1776107973.528341,1776107973.5500588,21.718,301.22,146.365,
66,98.66,burst_12p,True,1776107973.5334306,1776107973.5526836,19.253,302.17,146.352,
67,98.65,burst_12p,False,1776107973.5385199,1776107973.5528715,14.352,306.42,146.338,
