msg_id,price,mode,burst,produce_time,consume_time,latency_ms,throughput_msg_per_sec,p95_latency_ms,p99_latency_ms
5,99.74,burst,True,1776027311.6835537,1776027311.8162847,132.731,1000.0,,
6,99.74,burst,False,1776027311.6886458,1776027311.8164015,127.756,2000.0,,
0,100.08,burst,True,1776027311.6579893,1776027311.8239233,165.934,392.74,,
1,99.98,burst,True,1776027311.6631768,1776027311.8240037,160.827,518.2,,
2,100.17,burst,True,1776027311.668287,1776027311.8240364,155.749,645.02,,
3,100.03,burst,True,1776027311.673381,1776027311.8240712,150.69,770.56,,
4,100.03,burst,True,1776027311.6784759,1776027311.824091,145.615,896.71,,
13,99.75,burst,False,1776027311.724218,1776027311.82411,99.892,1022.32,,
14,99.67,burst,True,1776027311.7293065,1776027311.8241286,94.822,1147.38,,
23,99.29,burst,True,1776027311.7750216,1776027311.8241456,49.124,1272.12,,
24,99.34,burst,False,1776027311.7801085,1776027311.8241618,44.053,1396.45,,
27,99.28,burst,True,1776027311.7953544,1776027311.824178,28.824,1520.27,,
28,99.3,burst,False,1776027311.800458,1776027311.8241942,23.736,1643.59,,
29,99.28,burst,False,1776027311.805548,1776027311.8244781,18.93,1708.67,,
30,99.37,burst,True,1776027311.8106406,1776027311.8245301,13.89,1819.18,,
7,99.74,burst,False,1776027311.693732,1776027311.8288665,135.134,1271.68,,
8,99.74,burst,False,1776027311.6988142,1776027311.8289218,130.108,1345.24,,
15,99.67,burst,False,1776027311.7343805,1776027311.828944,94.563,1421.88,,
16,99.19,burst,True,1776027311.73947,1776027311.8289611,89.491,1498.84,,
17,99.12,burst,True,1776027311.7445538,1776027311.828982,84.428,1575.12,161.082,
18,99.11,burst,False,1776027311.7496316,1776027311.8293772,79.746,1603.97,160.827,
19,99.08,burst,False,1776027311.7547085,1776027311.8295193,74.811,1662.31,160.573,
20,99.23,burst,True,1776027311.7597892,1776027311.8296463,69.857,1721.34,160.319,
9,99.74,burst,False,1776027311.7038686,1776027311.8420777,138.209,930.48,160.065,
10,99.77,burst,False,1776027311.7089612,1776027311.8422873,133.326,961.44,159.811,
21,98.99,burst,True,1776027311.764863,1776027311.8424149,77.552,995.02,159.558,
22,99.21,burst,True,1776027311.7699409,1776027311.842537,72.596,1028.48,159.304,
31,99.39,burst,False,1776027311.8157263,1776027311.84269,26.964,1060.39,159.05,
32,98.36,burst,True,1776027311.8208225,1776027311.8428128,21.99,1093.18,158.796,
33,98.36,burst,False,1776027311.8259368,1776027311.8448508,18.914,1050.2,158.542,
34,98.34,burst,False,1776027311.8310318,1776027311.8449874,13.956,1080.04,158.288,
35,98.43,burst,True,1776027311.8361273,1776027311.8544657,18.338,838.11,158.034,
36,98.44,burst,False,1776027311.841221,1776027311.8546445,13.423,860.27,157.78,
11,99.77,burst,False,1776027311.714047,1776027311.8556826,141.636,862.99,157.526,
12,99.76,burst,False,1776027311.7191317,1776027311.8558156,136.684,885.38,157.273,
25,99.33,burst,False,1776027311.7851837,1776027311.8559544,70.771,907.49,157.019,
26,99.31,burst,False,1776027311.7902641,1776027311.8560612,65.797,930.2,156.765,
37,98.74,burst,True,1776027311.8463147,1776027311.870629,24.314,699.24,156.511,
39,98.77,burst,True,1776027311.8565328,1776027311.875644,19.111,657.02,156.257,
40,98.75,burst,False,1776027311.861636,1776027311.8757765,14.141,672.36,156.003,
38,98.66,burst,True,1776027311.8514354,1776027311.882711,31.276,617.23,155.749,
41,99.31,burst,False,1776027311.8667223,1776027311.8852339,18.512,609.14,155.496,
42,99.29,burst,False,1776027311.8718126,1776027311.8853853,13.573,622.28,155.243,
43,99.29,burst,False,1776027311.8768628,1776027311.895749,18.886,553.71,154.99,
44,99.28,burst,True,1776027311.8819473,1776027311.8959677,14.02,564.74,154.737,
45,99.24,burst,True,1776027311.8870323,1776027311.904996,17.964,518.54,154.485,
49,99.65,burst,False,1776027311.9074128,1776027311.9286304,21.218,418.35,154.232,
50,99.58,burst,True,1776027311.9125085,1776027311.9288664,16.358,426.36,153.979,
53,98.55,burst,False,1776027311.9277828,1776027311.9466414,18.859,375.89,153.726,
54,98.43,burst,True,1776027311.9328668,1776027311.9468467,13.98,382.96,153.473,
55,98.49,burst,True,1776027311.9379609,1776027311.9561484,18.188,364.64,153.22,
56,98.51,burst,False,1776027311.9430578,1776027311.968628,25.57,341.33,152.967,
59,99.44,burst,False,1776027311.9583442,1776027311.9774337,19.089,328.89,152.714,
60,99.46,burst,False,1776027311.9634535,1776027311.9776423,14.189,334.66,152.461,
63,99.32,burst,True,1776027311.978748,1776027311.9977932,19.045,303.02,152.208,
64,99.33,burst,False,1776027311.983874,1776027312.0098305,25.956,289.34,151.955,
69,99.07,burst,True,1776027312.0094712,1776027312.0277429,18.272,269.56,151.702,
70,99.05,burst,False,1776027312.0145967,1776027312.038747,24.15,260.72,151.449,
73,99.07,burst,False,1776027312.0299728,1776027312.0482674,18.295,254.33,151.196,
