msg_id,price,mode,burst,produce_time,consume_time,latency_ms,throughput_msg_per_sec,p95_latency_ms,p99_latency_ms
2,99.92,baseline,False,1776012563.7992604,1776012563.9127991,113.539,1000.0,,
6,99.95,baseline,False,1776012563.8799372,1776012563.9129488,33.012,2000.0,,
3,99.91,baseline,False,1776012563.8193753,1776012563.929287,109.912,181.95,,
4,99.93,baseline,False,1776012563.839727,1776012563.9293387,89.612,241.84,,
5,99.96,baseline,False,1776012563.8598292,1776012563.929362,69.533,301.88,,
0,99.98,baseline,False,1776012563.7589889,1776012563.9451964,186.208,185.2,,
1,99.96,baseline,False,1776012563.7791488,1776012563.9452465,166.098,215.73,,
9,99.29,baseline,False,1776012563.9402568,1776012563.958719,18.462,174.22,,
12,99.34,baseline,False,1776012564.0006313,1776012564.019483,18.852,84.36,,
8,99.26,baseline,False,1776012563.9201462,1776012564.0203216,100.175,93.0,,
13,99.36,baseline,False,1776012564.0207448,1776012564.0390923,18.348,87.1,,
14,99.38,baseline,False,1776012564.0408683,1776012564.0596128,18.744,81.74,,
16,99.36,baseline,False,1776012564.0810723,1776012564.0991294,18.057,69.77,,
10,99.31,baseline,False,1776012563.9603903,1776012564.1300194,169.629,64.45,,
11,99.32,baseline,False,1776012563.980514,1776012564.1300907,149.577,69.03,,
15,99.35,baseline,False,1776012564.0609746,1776012564.1301148,69.14,73.63,,
7,99.22,baseline,False,1776012563.900042,1776012564.1340778,234.036,76.83,,
17,99.35,baseline,False,1776012564.10117,1776012564.1341116,32.942,81.33,,
18,98.79,baseline,False,1776012564.121274,1776012564.1395512,18.277,83.79,,
19,98.79,baseline,False,1776012564.1413734,1776012564.1597185,18.345,81.0,188.599,
20,98.81,baseline,False,1776012564.1614897,1776012564.180682,19.192,78.39,186.208,
21,98.82,baseline,False,1776012564.181587,1776012564.1996655,18.079,76.69,185.379,
22,98.8,baseline,False,1776012564.2016819,1776012564.2200058,18.324,74.87,184.55,
23,98.83,baseline,False,1776012564.221815,1776012564.2402844,18.469,73.29,183.721,
24,98.8,baseline,False,1776012564.2419975,1776012564.2607954,18.798,71.84,182.892,
25,98.77,baseline,False,1776012564.2621677,1776012564.2826393,20.472,70.3,182.063,
26,98.73,baseline,False,1776012564.2824945,1776012564.303703,21.209,69.07,181.234,
27,98.73,baseline,False,1776012564.3029003,1776012564.3214734,18.573,68.51,180.405,
28,98.71,baseline,False,1776012564.323416,1776012564.3426738,19.258,67.46,179.576,
29,98.73,baseline,False,1776012564.3435955,1776012564.3640294,20.434,66.48,178.747,
30,98.73,baseline,False,1776012564.3638833,1776012564.3830574,19.174,65.92,177.918,
31,98.71,baseline,False,1776012564.3840504,1776012564.403081,19.031,65.27,177.089,
32,98.72,baseline,False,1776012564.4041991,1776012564.4240973,19.898,64.54,176.26,
33,98.73,baseline,False,1776012564.4243143,1776012564.442869,18.555,64.14,175.432,
34,98.72,baseline,False,1776012564.4444401,1776012564.4648213,20.381,63.4,174.603,
