msg_id,price,mode,burst,produce_time,consume_time,latency_ms,throughput_msg_per_sec,p95_latency_ms,p99_latency_ms
0,100.16,scaling,True,1776033733.0809822,1776033733.1959524,114.97,1000.0,,
1,100.14,scaling,True,1776033733.0861404,1776033733.1960573,109.917,2000.0,,
2,100.12,scaling,False,1776033733.0912297,1776033733.1960952,104.866,3000.0,,
3,100.22,scaling,True,1776033733.0963151,1776033733.196118,99.803,4000.0,,
4,100.08,scaling,True,1776033733.1014106,1776033733.1961372,94.727,5000.0,,
19,98.61,scaling,True,1776033733.1779869,1776033733.2058187,27.832,608.13,,
20,98.63,scaling,False,1776033733.183102,1776033733.2058861,22.784,704.67,,
9,100.2,scaling,True,1776033733.126876,1776033733.2076273,80.751,685.23,,
10,99.25,scaling,False,1776033733.1319935,1776033733.2076888,75.695,766.85,,
7,100.06,scaling,False,1776033733.1167018,1776033733.262662,145.96,149.9,,
8,100.19,scaling,True,1776033733.121794,1776033733.2627647,140.971,164.64,,
5,100.07,scaling,False,1776033733.106511,1776033733.2628064,156.295,179.5,,
6,100.05,scaling,False,1776033733.1116085,1776033733.2628813,151.273,194.24,,
29,97.62,scaling,False,1776033733.2292306,1776033733.2742355,45.005,178.84,,
25,98.32,scaling,False,1776033733.2085748,1776033733.2747345,66.16,190.4,,
26,98.32,scaling,False,1776033733.2136781,1776033733.2747943,61.116,202.94,,
11,99.17,scaling,True,1776033733.1371038,1776033733.2763054,139.202,211.57,,
12,99.15,scaling,False,1776033733.1422188,1776033733.276363,134.144,223.85,,
15,99.01,scaling,True,1776033733.1575534,1776033733.2763836,118.83,236.23,,
16,99.02,scaling,True,1776033733.1626585,1776033733.2763999,113.741,248.61,151.524,
17,99.04,scaling,False,1776033733.1677651,1776033733.2767603,108.995,259.88,151.273,
18,99.04,scaling,False,1776033733.1728752,1776033733.277007,104.132,271.42,151.007,
23,98.19,scaling,True,1776033733.1984015,1776033733.2771814,78.78,283.15,150.742,
24,98.32,scaling,True,1776033733.2034924,1776033733.2773578,73.865,294.82,150.476,
33,98.44,scaling,True,1776033733.2505047,1776033733.286504,35.999,276.09,150.21,
34,98.39,scaling,False,1776033733.2559392,1776033733.2866824,30.743,286.56,149.945,
30,97.63,scaling,False,1776033733.2345588,1776033733.2868247,52.266,297.12,149.679,
13,99.15,scaling,True,1776033733.1473258,1776033733.2900927,142.767,297.43,149.413,
14,99.16,scaling,False,1776033733.152448,1776033733.2902682,137.82,307.48,149.148,
37,97.89,scaling,False,1776033733.2714705,1776033733.2904043,18.934,317.62,148.882,
38,97.89,scaling,True,1776033733.2765846,1776033733.3032174,26.633,289.0,148.616,
41,98.14,scaling,True,1776033733.2918923,1776033733.3165784,24.686,265.28,148.351,
42,98.17,scaling,False,1776033733.2969906,1776033733.316767,19.776,273.15,148.085,
43,98.21,scaling,True,1776033733.3020837,1776033733.3261065,24.023,261.23,147.82,
44,98.23,scaling,False,1776033733.3071918,1776033733.3263,19.108,268.51,147.554,
45,98.36,scaling,True,1776033733.3123033,1776033733.3300183,17.715,268.52,147.288,
21,98.62,scaling,True,1776033733.1882138,1776033733.3391092,150.895,258.46,150.971,
22,98.39,scaling,False,1776033733.1933146,1776033733.339301,145.987,265.09,150.952,
31,97.6,scaling,True,1776033733.2399528,1776033733.3394372,99.484,271.81,150.933,
32,97.6,scaling,False,1776033733.24515,1776033733.3395624,94.412,278.53,150.914,
39,97.91,scaling,False,1776033733.2817004,1776033733.3396852,57.985,285.25,150.895,
40,98.06,scaling,True,1776033733.2867992,1776033733.3398085,53.009,291.96,150.65,
46,98.31,scaling,True,1776033733.3174217,1776033733.343009,25.587,292.4,150.404,
47,98.29,scaling,False,1776033733.3225324,1776033733.3510532,28.521,283.69,150.159,
48,98.27,scaling,False,1776033733.3276386,1776033733.3512583,23.62,289.75,149.914,
49,98.52,scaling,True,1776033733.3327532,1776033733.351396,18.643,295.93,149.668,
51,98.56,scaling,False,1776033733.3430085,1776033733.362828,19.819,281.65,149.423,
50,98.56,scaling,True,1776033733.3378718,1776033733.3631184,25.247,287.14,149.177,
53,98.84,scaling,False,1776033733.3532767,1776033733.3737147,20.438,275.65,148.932,
54,98.73,scaling,True,1776033733.3583899,1776033733.3739634,15.574,280.88,148.686,
35,98.28,scaling,True,1776033733.2611654,1776033733.3741114,112.946,286.26,148.441,
36,97.88,scaling,False,1776033733.266326,1776033733.3742793,107.953,291.6,148.196,
52,98.84,scaling,True,1776033733.3481712,1776033733.3753428,27.172,295.44,147.95,
27,98.34,scaling,True,1776033733.2187858,1776033733.38473,165.944,286.05,151.027,
